Numero de Ordem;Numero de Clausulas;Numero de exemplos Alvo no cubo;Numero de exemplos no cubo;Cobertura da Regra;Confianca da Regra;Lift da Regra;Significancia Estatistica da Regra;Clausula 1;Clausula 2;Clausula 3;Clausula 4
1;0;2183.0;4973.0;0.10999535511269382;0.43897044037804145;3.7523714463852587;0.0;duration = (521.5,inf];;;
2;3;104.0;3928.0;0.08688151113667028;0.026476578411405296;0.22632493601021836;1.2465663603477888e-96;pdays = (-inf,8.5];month = may ;contact = unknown ;age = (37.5, 58.5]
2;3;116.0;2922.0;0.06463028908893853;0.03969883641341547;0.3393503673826672;1.9380538892107508e-49;pdays = (-inf,8.5];month = jun ;contact = unknown ;age = (37.5, 58.5]
2;2;259.0;7971.0;0.17630665103625223;0.032492786350520636;0.27775219582026633;8.412661322981011e-164;pdays = (-inf,8.5];month = may ;contact = unknown;
2;2;205.0;4523.0;0.1000420251708655;0.04532390006632766;0.387434079390951;9.653047469348316e-64;pdays = (-inf,8.5];month = jun ;contact = unknown;
2;2;215.0;3452.0;0.0763530999093141;0.06228273464658169;0.5324002110241265;2.326180645347668e-27;pdays = (-inf,8.5];month = jul ;age = (37.5, 58.5];
2;2;211.0;3114.0;0.06887704319745194;0.06775850995504175;0.579207788537983;5.362187617536536e-20;pdays = (-inf,8.5];month = aug ;age = (37.5, 58.5];
2;1;620.0;11256.0;0.24896595961159895;0.055081734186211796;0.4708452040636834;4.0507937818125692e-112;pdays = (-inf,8.5];month = may;;
2;1;395.0;5019.0;0.11101280661785849;0.07870093644152222;0.6727449494153264;7.133876364731769e-19;pdays = (-inf,8.5];month = jun;;
2;1;491.0;6641.0;0.1468890314304041;0.07393464839632585;0.6320021532702379;4.740641599617414e-31;pdays = (-inf,8.5];month = jul;;
2;1;461.0;5731.0;0.12676118643692907;0.0804397138370267;0.6876082250493125;1.5475310580227148e-19;pdays = (-inf,8.5];month = aug;;
2;1;242.0;2824.0;0.06246267501271814;0.08569405099150142;0.7325229229300001;8.055622317918311e-08;pdays = (-inf,8.5];month = nov;;
